Campaign,Ad Group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
S03 | Conquest | Sourcing & Ops,SellerAmp | Brand,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare/selleramp,Paused
S03 | Conquest | Sourcing & Ops,SellerAmp | Switch,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare/selleramp,Paused
S03 | Conquest | Sourcing & Ops,Third Party Profits | Brand,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare,Paused
S03 | Conquest | Sourcing & Ops,Third Party Profits | Switch,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare,Paused
S03 | Conquest | Sourcing & Ops,Scan Unlimited,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare/scan-unlimited,Paused
S03 | Conquest | Sourcing & Ops,Rocket Source,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare/rocket-source,Paused
S03 | Conquest | Sourcing & Ops,Seller Assistant,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare/seller-assistant,Paused
S03 | Conquest | Sourcing & Ops,Tactical Arbitrage,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare,Paused
S03 | Conquest | Sourcing & Ops,Boxem,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare/boxem,Paused
S03 | Conquest | Sourcing & Ops,2D Workflow,Responsive search ad,Scanner Alternatives,Scan The Whole Price List,From Price List To PO,Stop Scanning One By One,Bulk Supplier Catalog Scans,Sourcing That Ends In A PO,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,Ungating Checked In Bulk,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.","Scanning, purchase orders, repricing and profit live in one place. Seven days free.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Check what you are ungated for across thousands of ASINs, one probe per brand.",compare,sourcing,https://www.apexapplications.io/compare/2d-workflow,Paused
S04 | Conquest | Analytics & Research,sellerboard | Brand,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/sellerboard,Paused
S04 | Conquest | Analytics & Research,sellerboard | Switch,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/sellerboard,Paused
S04 | Conquest | Analytics & Research,SmartScout | Brand,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/smartscout,Paused
S04 | Conquest | Analytics & Research,SmartScout | Switch,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/smartscout,Paused
S04 | Conquest | Analytics & Research,Helium 10 | Brand,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/helium10,Paused
S04 | Conquest | Analytics & Research,Helium 10 | Switch,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/helium10,Paused
S04 | Conquest | Analytics & Research,Jungle Scout | Brand,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/junglescout,Paused
S04 | Conquest | Analytics & Research,Jungle Scout | Switch,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/junglescout,Paused
S04 | Conquest | Analytics & Research,InventoryLab,Responsive search ad,Profit Tool Alternatives,See Profit And Act On It,More Than A Dashboard,Numbers You Can Buy From,"P&L, POs And Repricing",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,An Honest Side By Side,See Where We Win And Lose,"Research, Then Actually Buy","One Login, Not Four Tabs","Scan, Buy, Price, Restock","True Cost, Fees And Freight",A profit view that leads somewhere: build the purchase order from the same numbers.,"Landed cost, Amazon fees and freight in the margin before you commit to an order.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",compare,profit,https://www.apexapplications.io/compare/inventorylab,Paused
S05 | Category | Repricing,Repricer | Core,Responsive search ad,Amazon Repricer,Amazon Repricing Software,Win The Buy Box Safely,Price Floors From Real Cost,ROI Floor On Every Listing,Never Price Below Cost,Rules You Can Actually Read,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",Hold The Price Per Listing,Stop Racing To The Bottom,Set Up In An Afternoon,"Your floor comes from landed cost, Amazon fees and prep, so you never sell at a loss.",Win the Buy Box on listings worth winning and hold the price on the ones that are not.,"Repricing, scanning, purchase orders and profit in one place. Seven days free.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",repricer,amazon,https://www.apexapplications.io/features/gold,Paused
S05 | Category | Repricing,Repricer | Buy Box,Responsive search ad,Amazon Repricer,Amazon Repricing Software,Win The Buy Box Safely,Price Floors From Real Cost,ROI Floor On Every Listing,Never Price Below Cost,Rules You Can Actually Read,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",Hold The Price Per Listing,Stop Racing To The Bottom,Set Up In An Afternoon,"Your floor comes from landed cost, Amazon fees and prep, so you never sell at a loss.",Win the Buy Box on listings worth winning and hold the price on the ones that are not.,"Repricing, scanning, purchase orders and profit in one place. Seven days free.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",repricer,amazon,https://www.apexapplications.io/features/gold,Paused
S05 | Category | Repricing,Repricer | Profit Floors,Responsive search ad,Amazon Repricer,Amazon Repricing Software,Win The Buy Box Safely,Price Floors From Real Cost,ROI Floor On Every Listing,Never Price Below Cost,Rules You Can Actually Read,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",Hold The Price Per Listing,Stop Racing To The Bottom,Set Up In An Afternoon,"Your floor comes from landed cost, Amazon fees and prep, so you never sell at a loss.",Win the Buy Box on listings worth winning and hold the price on the ones that are not.,"Repricing, scanning, purchase orders and profit in one place. Seven days free.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",repricer,amazon,https://www.apexapplications.io/features/gold,Paused
S05 | Category | Repricing,Repricer | Wholesale,Responsive search ad,Amazon Repricer,Amazon Repricing Software,Win The Buy Box Safely,Price Floors From Real Cost,ROI Floor On Every Listing,Never Price Below Cost,Rules You Can Actually Read,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",Hold The Price Per Listing,Stop Racing To The Bottom,Set Up In An Afternoon,"Your floor comes from landed cost, Amazon fees and prep, so you never sell at a loss.",Win the Buy Box on listings worth winning and hold the price on the ones that are not.,"Repricing, scanning, purchase orders and profit in one place. Seven days free.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",repricer,amazon,https://www.apexapplications.io/features/gold,Paused
S06 | Category | Wholesale Scanning,Scanner | Price Lists,Responsive search ad,Amazon Wholesale Scanner,Scan Supplier Price Lists,Bulk ASIN And UPC Scans,Find What You Do Not Own,From Price List To PO,Rescan For New Winners,Always Load Your Database,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,Ungating Checked In Bulk,3 Distributors On Sign Up,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.",A rescan tells you what the catalogue gained that you do not already own.,"Every account gets three vetted US distributors on sign up, three more each month.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",scanner,wholesale,https://www.apexapplications.io/features/green,Paused
S06 | Category | Wholesale Scanning,Scanner | Bulk Lookup,Responsive search ad,Amazon Wholesale Scanner,Scan Supplier Price Lists,Bulk ASIN And UPC Scans,Find What You Do Not Own,From Price List To PO,Rescan For New Winners,Always Load Your Database,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,Ungating Checked In Bulk,3 Distributors On Sign Up,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.",A rescan tells you what the catalogue gained that you do not already own.,"Every account gets three vetted US distributors on sign up, three more each month.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",scanner,wholesale,https://www.apexapplications.io/features/green,Paused
S06 | Category | Wholesale Scanning,Scanner | Wholesale Software,Responsive search ad,Amazon Wholesale Scanner,Scan Supplier Price Lists,Bulk ASIN And UPC Scans,Find What You Do Not Own,From Price List To PO,Rescan For New Winners,Always Load Your Database,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,Ungating Checked In Bulk,3 Distributors On Sign Up,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.",A rescan tells you what the catalogue gained that you do not already own.,"Every account gets three vetted US distributors on sign up, three more each month.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",scanner,wholesale,https://www.apexapplications.io/features/green,Paused
S06 | Category | Wholesale Scanning,Scanner | Ungating,Responsive search ad,Amazon Wholesale Scanner,Scan Supplier Price Lists,Bulk ASIN And UPC Scans,Find What You Do Not Own,From Price List To PO,Rescan For New Winners,Always Load Your Database,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,Ungating Checked In Bulk,3 Distributors On Sign Up,"One Login, Not Four Tabs","Scan, Buy, Price, Restock","Upload a supplier price list and get every profitable match, ready to order.",A rescan tells you what the catalogue gained that you do not already own.,"Every account gets three vetted US distributors on sign up, three more each month.","Scanning, purchase orders, repricing and profit in one place. Seven days free.",scanner,wholesale,https://www.apexapplications.io/features/green,Paused
S07 | Category | Profit & Analytics,Profit | Tracker,Responsive search ad,Amazon Profit Tracker,Real P&L By Day Or Month,"Fees, Freight And Prep In",Know Your True Landed Cost,Profit You Can Buy From,Restock What Actually Sells,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"One Login, Not Four Tabs","Scan, Buy, Price, Restock",Costs From Your Real POs,See Every SKU's Margin,Set Up In An Afternoon,"A statement by day, week or month, built from your real orders, fees and costs.","Purchase order costs flow straight into the P&L, so your margin is not a guess.","Scanning, purchase orders, repricing and profit in one place. Seven days free.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",profit,amazon,https://www.apexapplications.io/features/blue,Paused
