Campaign,Sitelink Text,Sitelink Description 1,Sitelink Description 2,Final URL
S03 | Conquest | Sourcing & Ops,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
S04 | Conquest | Analytics & Research,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S04 | Conquest | Analytics & Research,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S04 | Conquest | Analytics & Research,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S04 | Conquest | Analytics & Research,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S04 | Conquest | Analytics & Research,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S04 | Conquest | Analytics & Research,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S04 | Conquest | Analytics & Research,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
S04 | Conquest | Analytics & Research,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
S05 | Category | Repricing,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S05 | Category | Repricing,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S05 | Category | Repricing,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S05 | Category | Repricing,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S05 | Category | Repricing,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S05 | Category | Repricing,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S05 | Category | Repricing,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
S05 | Category | Repricing,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
S06 | Category | Wholesale Scanning,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S06 | Category | Wholesale Scanning,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S06 | Category | Wholesale Scanning,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S06 | Category | Wholesale Scanning,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S06 | Category | Wholesale Scanning,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S06 | Category | Wholesale Scanning,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S06 | Category | Wholesale Scanning,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
S06 | Category | Wholesale Scanning,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
S07 | Category | Profit & Analytics,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S07 | Category | Profit & Analytics,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S07 | Category | Profit & Analytics,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S07 | Category | Profit & Analytics,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S07 | Category | Profit & Analytics,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S07 | Category | Profit & Analytics,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S07 | Category | Profit & Analytics,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
S07 | Category | Profit & Analytics,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
S08 | Category | Suppliers & Ungating,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S08 | Category | Suppliers & Ungating,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S08 | Category | Suppliers & Ungating,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S08 | Category | Suppliers & Ungating,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S08 | Category | Suppliers & Ungating,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S08 | Category | Suppliers & Ungating,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S08 | Category | Suppliers & Ungating,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
S08 | Category | Suppliers & Ungating,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
S10 | DSA | Comparisons & Blog,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S10 | DSA | Comparisons & Blog,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S10 | DSA | Comparisons & Blog,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S10 | DSA | Comparisons & Blog,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S10 | DSA | Comparisons & Blog,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S10 | DSA | Comparisons & Blog,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S10 | DSA | Comparisons & Blog,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
S10 | DSA | Comparisons & Blog,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
